YEAR,MONTH,MMNT,MMXT,MNTM
1992,1,-60.1897,53.3039,-3.4061
1992,2,-31.1569,85.8794,27.4197
1992,3,-8.9953,121.7801,56.4681
1992,4,33.0793,171.8985,102.5430
1992,5,77.7038,225.5818,151.7151
1992,6,116.9232,255.5705,186.3125
1992,7,141.1456,273.0710,207.1592
1992,8,130.3570,270.2953,200.3302
1992,9,98.1662,241.7055,169.9177
1992,10,40.6505,184.4286,112.4891
1992,11,-16.0630,82.6711,33.3498
1992,12,-65.3908,36.2618,-14.5626
1993,1,-72.1123,31.3445,-20.3574
1993,2,-79.0322,36.5644,-21.2012
1993,3,-21.0059,99.3393,39.2201
1993,4,22.4400,153.9573,88.2133
1993,5,82.3858,221.4268,151.9063
1993,6,117.7560,252.6839,185.1824
1993,7,146.7893,278.1650,212.4728
1993,8,143.6113,279.9383,211.8164
1993,9,91.2347,234.1120,162.7115
1993,10,36.1186,172.3997,104.2575
1993,11,-30.5579,90.8962,30.1804
1993,12,-54.6642,52.1799,-1.2116
1994,1,-88.9300,25.3555,-31.7529
1994,2,-79.4650,45.2102,-17.0936
1994,3,-13.6829,123.0870,54.7143
1994,4,32.3858,175.8052,104.1148
1994,5,79.4819,224.7419,152.1210
1994,6,133.7593,278.1514,205.9228
1994,7,150.4042,292.9256,221.7263
1994,8,141.2433,285.5104,213.3955
1994,9,103.8117,249.5356,176.7103
1994,10,46.6052,176.1008,111.3952
1994,11,-9.8952,104.7046,47.4338
1994,12,-40.7918,64.3818,11.8526
1995,1,-58.8227,42.3905,-8.1899
1995,2,-50.8796,74.5550,11.8509
1995,3,-12.5507,112.6539,50.0731
1995,4,17.8916,151.0364,84.4553
1995,5,73.3958,199.5791,136.4747
1995,6,120.3633,255.5043,187.9435
1995,7,149.8297,292.1692,221.0481
1995,8,154.9402,297.7562,226.3989
1995,9,98.4001,242.2016,170.4519
1995,10,42.8996,184.3025,113.6052
1995,11,-18.4587,103.5721,42.5820
1995,12,-59.4726,48.6614,-5.3857
1996,1,-86.8389,31.7562,-27.5415
1996,2,-59.7754,65.7475,3.0261
1996,3,-40.8699,91.6466,25.3959
1996,4,20.3608,161.8560,91.1280
1996,5,81.0594,211.0947,146.0810
1996,6,128.9280,269.9238,199.4477
1996,7,149.7029,290.2971,220.0506
1996,8,143.5673,287.2586,215.4489
1996,9,98.6737,230.8555,164.7688
1996,10,40.9430,177.5948,109.2846
1996,11,-23.8849,83.9435,30.0459
1996,12,-53.1643,50.8756,-1.1146
1997,1,-79.4293,30.7041,-24.3504
1997,2,-47.0706,66.5594,9.7368
1997,3,-12.3019,124.6681,56.2116
1997,4,10.6128,143.7288,77.1722
1997,5,68.7924,210.8672,139.8578
1997,6,125.4229,259.1183,192.2779
1997,7,152.0131,291.1759,221.6019
1997,8,142.0661,278.7571,210.4445
1997,9,110.8699,248.8529,179.8878
1997,10,43.2036,179.2066,111.2258
1997,11,-15.5253,93.5945,39.0366
1997,12,-47.9054,51.4408,1.7866
1998,1,-46.2058,54.9827,4.4233
1998,2,-24.9953,76.9047,25.9662
1998,3,-17.2367,98.6772,40.7562
1998,4,29.1628,164.6095,96.8808
1998,5,91.1982,229.2951,160.2774
1998,6,123.1786,254.1140,188.6581
1998,7,162.3020,299.6293,230.9834
1998,8,152.7037,295.6926,224.2288
1998,9,123.3927,268.2955,195.8616
1998,10,55.8818,186.7067,121.3091
1998,11,9.6744,121.0414,65.3325
1998,12,-45.6059,69.0584,11.7047
1999,1,-60.4346,53.9954,-3.2020
1999,2,-32.7947,91.3623,29.2617
1999,3,-19.4555,113.9969,47.3053
1999,4,32.1580,162.5744,97.3986
1999,5,79.1877,218.8482,149.0397
1999,6,129.2923,262.4046,195.8486
1999,7,162.3765,299.5470,230.9548
1999,8,148.2985,289.5706,218.9507
1999,9,98.6397,248.5412,173.5814
1999,10,44.8870,196.8994,120.8913
1999,11,12.3383,155.0122,83.6689
1999,12,-43.7885,75.1517,15.7155
2000,1,-60.0592,55.5095,-2.2592
2000,2,-27.0000,96.7211,34.8823
2000,3,5.5985,139.0136,72.3300
2000,4,37.2302,178.1569,107.6792
2000,5,98.6591,236.3745,167.4812
2000,6,134.0894,269.7071,201.8710
2000,7,156.1260,294.3276,225.2170
