Year,Month,Type,Temp
1992,1,MMNT,32.0
1992,1,MMXT,52.3
1992,1,MNTM,42.2
1992,2,MMNT,36.7
1992,2,MMXT,58.9
1992,2,MNTM,47.8
1992,3,MMNT,39.9
1992,3,MMXT,63.6
1992,3,MNTM,51.7
1992,4,MMNT,47.2
1992,4,MMXT,71.4
1992,4,MNTM,59.3
1992,5,MMNT,53.7
1992,5,MMXT,77.0
1992,5,MNTM,65.4
1992,6,MMNT,62.7
1992,6,MMXT,82.7
1992,6,MNTM,72.7
1992,7,MMNT,68.6
1992,7,MMXT,88.6
1992,7,MNTM,78.6
1992,8,MMNT,64.2
1992,8,MMXT,84.0
1992,8,MNTM,74.1
1992,9,MMNT,60.9
1992,9,MMXT,81.3
1992,9,MNTM,71.1
1992,10,MMNT,47.3
1992,10,MMXT,72.4
1992,10,MNTM,59.9
1992,11,MMNT,41.7
1992,11,MMXT,60.5
1992,11,MNTM,51.1
1992,12,MMNT,34.9
1992,12,MMXT,52.4
1992,12,MNTM,43.6
1993,1,MMNT,35.2
1993,1,MMXT,53.1
1993,1,MNTM,44.1
1993,2,MMNT,30.7
1993,2,MMXT,52.5
1993,2,MNTM,41.6
1993,3,MMNT,37.8
1993,3,MMXT,58.6
1993,3,MNTM,48.2
1993,4,MMNT,44.7
1993,4,MMXT,68.7
1993,4,MNTM,56.7
1993,5,MMNT,56.1
1993,5,MMXT,78.7
1993,5,MNTM,67.4
1993,6,MMNT,64.4
1993,6,MMXT,86.2
1993,6,MNTM,75.3
1993,7,MMNT,70.0
1993,7,MMXT,92.0
1993,7,MNTM,81.0
1993,8,MMNT,67.9
1993,8,MMXT,89.6
1993,8,MNTM,78.7
1993,9,MMNT,60.5
1993,9,MMXT,82.7
1993,9,MNTM,71.6
1993,10,MMNT,48.6
1993,10,MMXT,71.9
1993,10,MNTM,60.2
1993,11,MMNT,39.0
1993,11,MMXT,61.0
1993,11,MNTM,50.0
1993,12,MMNT,32.5
1993,12,MMXT,52.2
1993,12,MNTM,42.3
1994,1,MMNT,27.4
1994,1,MMXT,46.4
1994,1,MNTM,36.9
1994,2,MMNT,33.6
1994,2,MMXT,56.0
1994,2,MNTM,44.8
1994,3,MMNT,39.7
1994,3,MMXT,64.3
1994,3,MNTM,52.0
1994,4,MMNT,49.4
1994,4,MMXT,75.2
1994,4,MNTM,62.3
1994,5,MMNT,53.6
1994,5,MMXT,77.4
1994,5,MNTM,65.5
1994,6,MMNT,66.5
1994,6,MMXT,87.0
1994,6,MNTM,76.8
1994,7,MMNT,67.8
1994,7,MMXT,87.0
1994,7,MNTM,77.4
1994,8,MMNT,65.1
1994,8,MMXT,85.9
1994,8,MNTM,75.5
1994,9,MMNT,58.6
1994,9,MMXT,81.0
1994,9,MNTM,69.8
1994,10,MMNT,50.5
1994,10,MMXT,72.6
1994,10,MNTM,61.5
1994,11,MMNT,44.5
1994,11,MMXT,66.7
1994,11,MNTM,55.6
1994,12,MMNT,37.5
1994,12,MMXT,56.4
1994,12,MNTM,47.0
1995,1,MMNT,32.0
1995,1,MMXT,51.2
1995,1,MNTM,41.6
1995,2,MMNT,31.8
1995,2,MMXT,53.8
1995,2,MNTM,42.8
1995,3,MMNT,41.9
1995,3,MMXT,65.5
1995,3,MNTM,53.7
1995,4,MMNT,47.6
1995,4,MMXT,73.1
1995,4,MNTM,60.4
1995,5,MMNT,57.5
1995,5,MMXT,79.2
1995,5,MNTM,68.3
1995,6,MMNT,63.5
1995,6,MMXT,84.4
1995,6,MNTM,73.9
1995,7,MMNT,68.4
1995,7,MMXT,89.9
1995,7,MNTM,79.1
1995,8,MMNT,69.8
1995,8,MMXT,90.6
1995,8,MNTM,80.2
1995,9,MMNT,59.6
1995,9,MMXT,81.6
1995,9,MNTM,70.6
1995,10,MMNT,50.1
1995,10,MMXT,74.8
1995,10,MNTM,62.4
1995,11,MMNT,36.2
1995,11,MMXT,59.1
1995,11,MNTM,47.7
1995,12,MMNT,31.1
1995,12,MMXT,50.9
1995,12,MNTM,41.0
1996,1,MMNT,28.7
1996,1,MMXT,50.0
1996,1,MNTM,39.4
1996,2,MMNT,31.9
1996,2,MMXT,54.7
1996,2,MNTM,43.3
1996,3,MMNT,34.9
1996,3,MMXT,57.9
1996,3,MNTM,46.4
1996,4,MMNT,45.2
1996,4,MMXT,70.6
1996,4,MNTM,57.9
1996,5,MMNT,58.7
1996,5,MMXT,80.9
1996,5,MNTM,69.8
1996,6,MMNT,64.3
1996,6,MMXT,85.6
1996,6,MNTM,75.0
1996,7,MMNT,67.3
1996,7,MMXT,87.6
1996,7,MNTM,77.5
1996,8,MMNT,66.2
1996,8,MMXT,86.3
1996,8,MNTM,76.2
1996,9,MMNT,59.8
1996,9,MMXT,80.8
1996,9,MNTM,70.3
1996,10,MMNT,49.5
1996,10,MMXT,72.8
1996,10,MNTM,61.1
1996,11,MMNT,38.3
1996,11,MMXT,58.3
1996,11,MNTM,48.3
1996,12,MMNT,35.0
1996,12,MMXT,56.0
1996,12,MNTM,45.5
1997,1,MMNT,30.5
1997,1,MMXT,50.9
1997,1,MNTM,40.7
1997,2,MMNT,37.3
1997,2,MMXT,57.0
1997,2,MNTM,47.2
1997,3,MMNT,43.6
1997,3,MMXT,67.7
1997,3,MNTM,55.6
1997,4,MMNT,43.9
1997,4,MMXT,67.9
1997,4,MNTM,55.9
1997,5,MMNT,52.3
1997,5,MMXT,76.5
1997,5,MNTM,64.4
1997,6,MMNT,63.2
1997,6,MMXT,82.2
1997,6,MNTM,72.7
1997,7,MMNT,68.0
1997,7,MMXT,89.4
1997,7,MNTM,78.7
1997,8,MMNT,65.0
1997,8,MMXT,86.7
1997,8,MNTM,75.9
1997,9,MMNT,60.1
1997,9,MMXT,83.3
1997,9,MNTM,71.7
1997,10,MMNT,49.1
1997,10,MMXT,72.9
1997,10,MNTM,61.0
1997,11,MMNT,38.4
1997,11,MMXT,58.0
1997,11,MNTM,48.2
1997,12,MMNT,33.5
1997,12,MMXT,51.7
1997,12,MNTM,42.6
1998,1,MMNT,36.4
1998,1,MMXT,54.3
1998,1,MNTM,45.3
1998,2,MMNT,37.2
1998,2,MMXT,56.3
1998,2,MNTM,46.7
1998,3,MMNT,39.9
1998,3,MMXT,60.4
1998,3,MNTM,50.1
